Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Drug addicts,Johor,2017,2108,55.91
Drug addicts,Kedah,2017,2655,122.06
Drug addicts,Kelantan,2017,3700,200.28
Drug addicts,Kuala Lumpur,2017,1693,86.66
Drug addicts,Melaka,2017,613,66.53
Drug addicts,Negeri Sembilan,2017,1012,89.63
Drug addicts,Pahang,2017,2088,124.35
Drug addicts,Perak,2017,1557,61.11
Drug addicts,Perlis,2017,654,255.07
Drug addicts,Penang,2017,3844,220.07
Drug addicts,Sabah,2017,1139,28.82
Drug addicts,Sarawak,2017,440,15.77
Drug addicts,Selangor,2017,2375,37.1
Drug addicts,Terengganu,2017,2044,167.32
