Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Motorcycle Theft,Johor,2018,3881,101.52
Motorcycle Theft,Kedah,2018,2579,116.91
Motorcycle Theft,Kelantan,2018,1611,85.49
Motorcycle Theft,Kuala Lumpur,2018,3030,153.67
Motorcycle Theft,Melaka,2018,1030,110.2
Motorcycle Theft,Negeri Sembilan,2018,711,62.32
Motorcycle Theft,Pahang,2018,793,46.57
Motorcycle Theft,Perak,2018,1672,65.07
Motorcycle Theft,Perlis,2018,175,67.54
Motorcycle Theft,Penang,2018,1986,112.38
Motorcycle Theft,Sabah,2018,504,12.54
Motorcycle Theft,Sarawak,2018,1692,59.8
Motorcycle Theft,Selangor,2018,6510,100.01
Motorcycle Theft,Terengganu,2018,605,48.58
